Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Phil Bickford","NYY",0,0,0,5,0,5,7.200002746583079,1.8000006866457698,1.8000006866457698,0.35,0.11627907,0.35,0.111111111,93.4529354319853,14.400005493166159,3.85,5.362573413849198,5.488953577806855,-0.02972138300538063,"Phil Bickford",18519,641360
"Brandon Crawford","STL",0,0,0,1,0,1.1,0,13.500003218651585,0,0.42857142857142855,0.33333333,0.428571428,0,87.29977416992188,27.00000643730317,9.21,9.91257418394127,12.184558155414006,-0.030996687710285187,"Brandon Crawford",5343,543063
"Adam Cimber","LAA",3,0,0,28,0,24.1,7.027398729172533,5.178083274127129,0.36986309100908066,0.2835820895522388,0.54404145,0.447761194,0.047619047,85.33611778846154,7.027398729172533,5.51,4.600929039650793,5.3738511745140345,-0.031836677342653275,"Adam Cimber",15288,643256
"Drew Thorpe","CHW",3,3,0,9,9,44.1,5.0751881154910246,4.2631580170124606,1.6240601969571278,0.2,0.61135371,0.361702127,0.119402985,91.06859509698276,5.4812031647303066,4.67,5.8693395695440245,5.812540918229206,-0.032395295798778534,"Drew Thorpe",31967,689672
"Emmanuel Ramirez","MIA",0,1,0,14,0,19.1,8.844828167936928,3.258620903976763,1.3965518159900412,0.24489795918367346,0.60606061,0.403846153,0.130434782,94.12725275213069,5.120689991963484,4.25,4.610848531938484,4.395525031057881,-0.034301191568374634,"Emmanuel Ramirez",17304,642629
"Janson Junk","MIL",0,0,0,5,0,8,9,2.25,2.25,0.5,0.78947368,0.344827586,0.2,94.35544752038044,6.75,5.66,5.162572574615479,3.805892099440098,-0.036754071712493896,"Janson Junk",23301,676083
"Kyle Hendricks","CHC",3,10,0,22,17,96.1,6.259515653557638,2.5224913827769586,1.7750865286208226,0.30434782608695654,0.61728395,0.454258675,0.18095238,88.15527960266729,6.352941260327155,4.83,5.269839038416807,4.356747400951878,-0.038244911935180426,"Kyle Hendricks",12049,543294
"David Bednar","PIT",3,6,22,47,0,44.1,9.744362020204246,3.0451131313138267,1.6240603367007076,0.296,0.63706564,0.34351145,0.13114754,97.269140625,5.684211178452476,4.52,4.561068975663311,4.299279309796626,-0.0420944020152092,"David Bednar",19569,670280
"J.P. France","HOU",0,3,0,5,5,25.1,7.815789865985161,4.263158108719178,1.7763158786329911,0.32098765432098764,0.62162162,0.290697674,0.113636363,92.62080862226277,7.460526690258563,5.81,5.530993746126134,5.595921931246675,-0.042116496711969376,"J.P. France",21212,641585
"Eli Villalobos","MIA",0,0,0,3,0,4.1,6.230769687855771,4.153846458570514,2.076923229285257,0.16666666666666666,1,0.23076923,0.166666666,93.48526161595395,2.076923229285257,7.03,6.162572794694183,5.259788202118186,-0.04287491738796234,"Eli Villalobos",20408,681871
"Josiah Gray","WSN",0,2,0,2,2,8.1,9.720000370788588,5.40000020599366,2.160000082397464,0.4642857142857143,0.40697674,0.3,0.133333333,93.32627203525641,14.040000535583516,6.11,5.922572679901127,5.528952780633171,-0.045046254992485046,"Josiah Gray",24580,680686
"Daniel Duarte","MIN",1,0,0,2,0,4,6.75,2.25,2.25,0.1,1,0.545454545,0.25,96.16897147042411,2.25,3.1,5.662572574615479,3.927228194475174,-0.04520074278116226,"Daniel Duarte",17480,650960
"Emmanuel Rivera","MIA",0,0,0,4,0,4,0,0,2.25,0.3333333333333333,0.60606061,0.263157894,0.111111111,67.24392700195312,9,7.67,7.162572574615479,7.320547719299793,-0.04588320106267929,"Emmanuel Rivera",19890,656896
"Max Meyer","MIA",3,3,0,8,8,40.1,7.363636595785491,2.6776860348310874,2.0082645261233156,0.29310344827586204,0.72687225,0.488,0.195652173,94.30580155685921,5.578512572564766,5.1,5.542737938909779,4.369369931179152,-0.0461156889796257,"Max Meyer",27474,676974
"Cody Bolton","SEA",0,0,0,17,0,18.2,8.196429688103498,4.339286305466557,1.4464287684888524,0.2777777777777778,0.70175439,0.385964912,0.136363636,95.0496114095052,4.339286305466557,3.75,4.8768585224541185,4.572702604422233,-0.04623555392026901,"Cody Bolton",23265,675989
"Jackson Stephens","ATL",0,0,0,3,0,3.1,5.40000051498418,2.70000025749209,2.70000025749209,0.3333333333333333,1,0.23076923,0.142857142,92.48709542410714,2.70000025749209,5.3,7.662573003768962,6.943349736883848,-0.04716372862458229,"Jackson Stephens",14420,623451
"Alex Speas","HOU",0,0,0,1,0,2,9,4.5,4.5,0.25,1,0.4,0.333333333,98.65287780761719,4.5,5.7,9.162572574615478,4.934556004405022,-0.04765012860298157,"Alex Speas",21859,666208
"Ryan Brasier","LAD",0,0,0,14,1,14.1,8.162791421827398,1.8837210973447842,1.8837210973447842,0.1891891891891892,0.79545455,0.475,0.214285714,94.74344171262256,3.7674421946895684,3.46,4.697456431711229,3.4559571595754925,-0.04769288096576929,"Ryan Brasier",5615,518489
